code,lat,lon
28079004,40.4238823,-3.7122567
28079008,40.4215533,-3.6823158
28079011,40.4514734,-3.6773491
28079016,40.4400457,-3.6392422
28079017,40.347147,-3.7133167
28079018,40.3947825,-3.7318356
28079024,40.4193577,-3.7473445
28079027,40.4769179,-3.5800258
28079035,40.4192091,-3.7031662
28079036,40.4079517,-3.6453104
28079038,40.4455439,-3.7071303
28079039,40.4782322,-3.7115364
28079040,40.3881478,-3.6515286
28079047,40.3980991,-3.6868138
28079048,40.4398904,-3.6903729
28079049,40.4144444,-3.6824999
28079050,40.4655841,-3.6887449
28079054,40.3730118,-3.6121394
28079055,40.4623628,-3.5805649
28079056,40.3850336,-3.7187679
28079057,40.4942012,-3.6605173
28079058,40.5180701,-3.7746101
28079059,40.4607255,-3.6163407
28079060,40.5005477,-3.6897308
28005002,40.47916667,-3.37777778
28006004,40.5405,-3.64519444
28007004,40.34191667,-3.83372222
28009001,40.59975,-3.50327778
28013002,40.03327778,-3.59141667
28014002,40.30080556,-3.45888889
28016001,40.90905556,-3.46788889
28045002,40.66463889,-3.77388889
28047002,40.63311111,-4.01419444
28049003,40.43047222,-3.54230556
28058004,40.28152778,-3.80094444
28065014,40.31458333,-3.71686111
28067001,40.78063889,-3.70216667
28074007,40.33977778,-3.75452778
28080003,40.56194444,-3.869
28092005,40.32422222,-3.87675
28102001,40.28758333,-3.22111111
28120001,40.82511111,-3.96119444
28123002,40.35975,-3.54286111
28133002,40.36775,-4.39811111
28148004,40.44955556,-3.47763889
28161001,40.18525,-3.68027778
28171001,40.24872222,-4.27566667
28180001,40.16722222,-3.27666667
