,28079008,28079011,28079018,28079024,28079038,28079055
2016-12-01 01:00:00,1.2,2.7,,0.6,1.0,0.6
2016-12-01 02:00:00,0.9,2.9,,0.5,0.7,0.5
2016-12-01 03:00:00,1.1,1.6,,0.5,0.5,0.5
2016-12-01 04:00:00,0.7,1.3,,0.5,0.4,0.4
2016-12-01 05:00:00,0.5,1.4,,0.4,0.3,0.4
2016-12-01 06:00:00,0.4,1.5,,0.3,0.3,0.5
2016-12-01 07:00:00,0.4,1.4,,0.3,0.4,0.6
2016-12-01 08:00:00,0.8,1.6,,0.3,0.4,0.9
2016-12-01 09:00:00,1.6,2.5,,0.5,1.2,0.9
2016-12-01 10:00:00,3.0,4.1,,0.8,2.6,1.2
2016-12-01 11:00:00,2.7,5.3,,1.2,2.4,1.9
2016-12-01 12:00:00,2.2,4.4,,1.2,3.1,2.3
2016-12-01 13:00:00,3.6,4.7,,1.7,3.7,2.2
2016-12-01 14:00:00,3.8,5.3,,1.8,3.6,1.8
2016-12-01 15:00:00,20.38,4.6,,2.2,3.9,1.7
2016-12-01 16:00:00,4.5,4.8,,2.3,3.5,2.2
2016-12-01 17:00:00,10.7,5.7,,2.4,6.7,3.3
2016-12-01 18:00:00,10.0,5.5,,1.9,7.1,2.0
2016-12-01 19:00:00,7.7,6.2,,2.0,7.4,1.8
2016-12-01 20:00:00,6.0,5.8,,2.0,6.8,2.8
2016-12-01 21:00:00,5.0,4.7,,1.5,5.4,2.3
2016-12-01 22:00:00,3.7,4.0,,1.6,4.5,1.6
2016-12-01 23:00:00,4.1,4.5,,1.9,4.1,3.0
2016-12-02 00:00:00,3.7,5.2,,2.6,3.7,3.4
2016-12-02 01:00:00,2.0,4.8,1.0,2.3,2.2,3.5
2016-12-02 02:00:00,1.4,3.8,1.0,1.5,1.4,3.6
2016-12-02 03:00:00,0.9,2.6,1.0,1.1,0.8,3.7
2016-12-02 04:00:00,1.2,2.8,1.0,0.8,1.2,2.7
2016-12-02 05:00:00,1.9,4.7,1.0,0.8,1.0,3.0
2016-12-02 06:00:00,1.5,4.4,1.0,1.4,1.3,2.8
