,28079008,28079024,28079055
2018-11-01 01:00:00,1.73,1.29,1.53
2018-11-01 02:00:00,1.74,1.31,1.56
2018-11-01 03:00:00,1.72,1.35,1.54
2018-11-01 04:00:00,1.75,1.35,1.57
2018-11-01 05:00:00,1.68,1.37,1.67
2018-11-01 06:00:00,1.74,1.37,2.12
2018-11-01 07:00:00,1.8,1.4,2.67
2018-11-01 08:00:00,1.8,1.37,2.87
2018-11-01 09:00:00,1.86,1.39,3.67
2018-11-01 10:00:00,1.95,1.51,3.38
2018-11-01 11:00:00,1.79,1.46,2.71
2018-11-01 12:00:00,1.76,1.4,2.25
2018-11-01 13:00:00,1.62,1.4,1.62
2018-11-01 14:00:00,1.54,1.32,1.45
2018-11-01 15:00:00,1.54,1.31,1.4
2018-11-01 16:00:00,1.52,1.29,1.37
2018-11-01 17:00:00,1.5,1.28,1.37
2018-11-01 18:00:00,1.52,1.28,1.35
2018-11-01 19:00:00,1.53,1.27,1.34
2018-11-01 20:00:00,1.6,1.28,1.36
2018-11-01 21:00:00,1.57,1.27,1.36
2018-11-01 22:00:00,1.62,1.29,1.37
2018-11-01 23:00:00,1.57,1.29,1.38
2018-11-02 00:00:00,1.58,1.28,1.37
2018-11-02 01:00:00,1.54,1.28,1.36
2018-11-02 02:00:00,1.55,1.29,1.36
2018-11-02 03:00:00,1.54,1.3,1.37
2018-11-02 04:00:00,1.54,1.29,1.37
2018-11-02 05:00:00,1.53,1.29,1.39
2018-11-02 06:00:00,1.54,1.28,1.43
2018-11-02 07:00:00,1.53,1.28,1.46
2018-11-02 08:00:00,1.57,1.28,1.49
2018-11-02 09:00:00,1.61,1.28,1.73
2018-11-02 10:00:00,1.61,1.28,1.63
2018-11-02 11:00:00,1.55,1.27,1.5
2018-11-02 12:00:00,1.53,1.26,1.44
2018-11-02 13:00:00,1.54,1.26,1.38
2018-11-02 14:00:00,1.57,1.27,1.33
2018-11-02 15:00:00,1.56,1.27,1.31
2018-11-02 16:00:00,1.55,1.28,1.31
2018-11-02 17:00:00,1.54,1.29,1.32
2018-11-02 18:00:00,1.59,1.29,1.32
2018-11-02 19:00:00,1.6,1.3,1.32
2018-11-02 20:00:00,1.57,1.29,1.32
2018-11-02 21:00:00,1.57,1.31,1.34
2018-11-02 22:00:00,1.59,1.34,1.36
2018-11-02 23:00:00,1.61,1.35,1.34
