,ensayo_1,ensayo_1,ensayo_1,ensayo_1,ensayo_1,ensayo_1,ensayo_1,ensayo_1,ensayo_1,ensayo_1,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_20,ensayo_20,ensayo_20,ensayo_20,ensayo_20,ensayo_20,ensayo_30,ensayo_30,ensayo_30,ensayo_30,ensayo_30,ensayo_30,ensayo_42,ensayo_42,ensayo_42,ensayo_43,ensayo_43,ensayo_43,ensayo_44,ensayo_44,ensayo_44,ensayo_6,ensayo_6,ensayo_6,ensayo_6,ensayo_6,ensayo_6,ensayo_6,ensayo_6,ensayo_6,ensayo_6,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9
punto_muestreo,28079004,28079008,28079017,28079018,28079024,28079035,28079036,28079038,28079040,28079057,28079008,28079018,28079024,28079036,28079038,28079040,28079047,28079048,28079050,28079055,28079057,28079060,28079004,28079008,28079011,28079016,28079017,28079018,28079024,28079027,28079035,28079036,28079038,28079039,28079040,28079047,28079048,28079049,28079050,28079054,28079055,28079056,28079057,28079058,28079059,28079060,28079008,28079016,28079017,28079018,28079024,28079027,28079035,28079039,28079049,28079054,28079056,28079058,28079059,28079060,28079008,28079011,28079018,28079024,28079038,28079055,28079008,28079011,28079018,28079024,28079038,28079055,28079008,28079024,28079055,28079008,28079024,28079055,28079008,28079024,28079055,28079004,28079008,28079016,28079018,28079024,28079035,28079036,28079039,28079056,28079057,28079004,28079008,28079011,28079016,28079017,28079018,28079024,28079027,28079035,28079036,28079038,28079039,28079040,28079047,28079048,28079049,28079050,28079054,28079055,28079056,28079057,28079058,28079059,28079060,28079004,28079008,28079011,28079016,28079017,28079018,28079024,28079027,28079035,28079036,28079038,28079039,28079040,28079047,28079048,28079049,28079050,28079054,28079055,28079056,28079057,28079058,28079059,28079060,28079008,28079038,28079047,28079048,28079050
miDt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-01 01:00:00,9.0,5.0,63.13,7.0,4.0,7.0,5.0,5.0,1.0,10.0,53.0,23.0,25.0,27.0,20.0,34.0,12.0,19.0,24.0,26.0,20.0,28.0,189.0,217.0,145.0,141.0,210.0,86.0,63.0,72.0,142.0,143.0,94.0,344.0,109.0,139.0,76.0,62.0,86.0,273.0,123.0,83.0,67.0,14.0,88.0,55.0,6.28,1.49,20.05,12.86,29.51,35.77,9.74,1.24,30.68,4.12,24.29,58.73,9.45,34.13,10.5,7.6,5.1,1.4,0.9,19.8,2.6,1.1,0.5,0.3,0.1,0.6,1.79,1.21,1.55,1.49,1.13,1.35,0.3,0.07,0.2,0.6,1.1,0.5,0.4,0.2,0.6,0.4,0.9,0.5,0.3,52.0,56.0,22.0,20.0,63.0,4.0,1.0,1.0,29.0,21.0,12.0,132.0,7.0,25.0,1.0,1.0,15.0,92.0,11.0,7.0,1.0,1.0,3.0,1.0,109.0,131.0,111.0,109.0,113.0,80.0,61.0,70.0,97.0,111.0,76.0,141.0,98.0,101.0,74.0,61.0,62.0,133.0,106.0,72.0,65.0,12.0,83.0,53.0,30.0,11.0,6.0,12.0,14.0
2018-08-01 02:00:00,8.0,5.0,57.48,7.0,4.0,8.0,5.0,5.0,1.0,10.0,38.0,29.0,21.0,29.0,20.0,32.0,31.0,24.0,22.0,27.0,23.0,24.0,136.0,173.0,116.0,85.0,156.0,71.0,35.0,43.0,129.0,112.0,67.0,230.0,107.0,97.0,64.0,55.0,72.0,160.0,87.0,78.0,70.0,9.0,56.0,41.0,8.37,10.68,16.97,17.98,43.42,48.69,11.47,0.92,32.35,3.7,21.95,57.88,34.54,45.78,9.7,7.2,4.1,1.3,0.6,10.4,2.3,1.0,0.4,0.3,0.1,0.4,1.7,1.22,1.76,1.48,1.15,1.62,0.22,0.06,0.14,0.4,0.8,0.3,0.4,0.2,0.6,0.4,0.6,0.5,0.3,31.0,40.0,12.0,1.0,38.0,4.0,1.0,1.0,23.0,7.0,3.0,72.0,9.0,7.0,2.0,1.0,10.0,27.0,4.0,8.0,1.0,1.0,1.0,1.0,90.0,112.0,97.0,82.0,97.0,65.0,34.0,42.0,94.0,101.0,62.0,119.0,94.0,86.0,62.0,53.0,56.0,119.0,81.0,66.0,68.0,8.0,54.0,39.0,17.0,12.0,25.0,18.0,14.0
2018-08-01 03:00:00,8.0,5.0,11.0,7.0,4.0,11.0,5.0,5.0,1.0,10.0,39.0,16.0,31.0,24.0,17.0,20.0,36.0,20.0,24.0,20.0,21.0,27.0,101.0,87.0,60.0,29.0,129.0,55.0,53.0,71.0,105.0,45.0,43.0,74.0,67.0,76.0,44.0,56.0,44.0,91.0,71.0,80.0,24.0,8.0,19.0,42.0,32.09,65.52,17.43,17.6,26.28,36.78,14.19,32.57,26.15,23.13,18.69,54.73,81.4,53.08,8.5,4.4,3.1,1.3,0.5,5.2,1.3,0.6,0.3,0.2,0.1,0.3,1.67,1.24,1.58,1.5,1.16,1.45,0.18,0.08,0.14,0.4,0.5,0.2,0.4,0.2,0.5,0.2,0.3,0.5,0.2,18.0,5.0,1.0,1.0,27.0,2.0,1.0,1.0,16.0,2.0,1.0,7.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,11.0,1.0,1.0,1.0,1.0,73.0,79.0,58.0,28.0,87.0,52.0,52.0,70.0,80.0,41.0,41.0,64.0,61.0,72.0,42.0,55.0,41.0,87.0,69.0,63.0,22.0,7.0,17.0,41.0,22.0,10.0,31.0,13.0,16.0
2018-08-01 04:00:00,8.0,6.0,12.0,7.0,4.0,10.0,6.0,5.0,3.0,10.0,26.0,36.0,22.0,27.0,23.0,17.0,2.0,18.0,24.0,21.0,20.0,28.0,81.0,39.0,13.0,20.0,123.0,53.0,45.0,42.0,53.0,36.0,12.0,14.0,40.0,54.0,15.0,36.0,11.0,79.0,66.0,93.0,9.0,8.0,16.0,17.0,70.68,73.16,15.82,12.34,28.79,45.26,51.41,92.8,47.08,21.88,8.61,51.14,82.58,87.7,5.5,1.4,2.4,2.8,0.4,3.3,0.6,0.2,0.3,0.4,0.1,0.2,1.58,1.24,1.58,1.51,1.16,1.44,0.08,0.08,0.14,0.3,0.3,0.2,0.4,0.2,0.4,0.1,0.2,0.5,0.2,12.0,1.0,1.0,1.0,25.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,16.0,1.0,1.0,1.0,1.0,62.0,37.0,12.0,19.0,84.0,49.0,43.0,40.0,47.0,34.0,11.0,12.0,39.0,52.0,13.0,34.0,9.0,75.0,64.0,68.0,7.0,6.0,15.0,15.0,14.0,14.0,1.0,11.0,14.0
2018-08-01 05:00:00,8.0,5.0,13.0,7.0,4.0,9.0,6.0,5.0,2.0,10.0,29.0,21.0,24.0,29.0,18.0,20.0,16.0,20.0,18.0,21.0,19.0,26.0,67.0,36.0,21.0,41.0,128.0,46.0,31.0,36.0,49.0,29.0,21.0,17.0,26.0,35.0,24.0,33.0,16.0,69.0,56.0,60.0,13.0,8.0,25.0,16.0,68.58,45.08,26.16,16.86,31.01,47.61,51.08,82.68,45.04,29.46,19.54,48.6,61.67,86.75,4.5,1.7,3.1,2.1,0.3,3.0,0.3,0.1,0.3,0.3,0.1,0.2,1.58,1.25,1.49,1.52,1.17,1.36,0.07,0.08,0.13,0.3,0.2,0.2,0.4,0.2,0.4,0.1,0.2,0.4,0.2,7.0,1.0,1.0,1.0,32.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,7.0,1.0,1.0,1.0,1.0,56.0,35.0,20.0,40.0,80.0,43.0,30.0,34.0,45.0,26.0,19.0,15.0,25.0,33.0,22.0,31.0,14.0,64.0,53.0,49.0,12.0,6.0,23.0,14.0,15.0,9.0,11.0,13.0,10.0
2018-08-01 06:00:00,8.0,4.0,12.0,7.0,4.0,9.0,5.0,5.0,1.0,10.0,27.0,2.0,23.0,30.0,16.0,25.0,12.0,18.0,15.0,19.0,20.0,28.0,46.0,26.0,15.0,17.0,73.0,32.0,26.0,53.0,44.0,23.0,15.0,22.0,25.0,33.0,14.0,23.0,11.0,39.0,67.0,52.0,9.0,9.0,16.0,13.0,79.99,75.12,24.74,33.32,37.04,46.89,49.29,78.08,53.66,56.48,27.73,54.58,75.68,94.46,3.4,1.2,3.1,2.4,0.3,2.4,0.2,0.1,0.3,0.3,0.1,0.2,1.54,1.27,1.51,1.48,1.19,1.39,0.05,0.08,0.12,0.2,0.2,0.1,0.3,0.2,0.4,0.1,0.2,0.4,0.2,3.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,41.0,25.0,13.0,16.0,63.0,31.0,25.0,51.0,39.0,21.0,14.0,20.0,24.0,31.0,12.0,21.0,9.0,37.0,65.0,43.0,8.0,8.0,15.0,11.0,15.0,6.0,9.0,9.0,5.0
2018-08-01 07:00:00,8.0,4.0,12.0,6.0,4.0,8.0,5.0,5.0,1.0,10.0,20.0,21.0,22.0,22.0,20.0,30.0,7.0,18.0,19.0,20.0,24.0,30.0,102.0,37.0,25.0,24.0,81.0,35.0,20.0,84.0,32.0,33.0,33.0,34.0,39.0,26.0,22.0,18.0,20.0,54.0,85.0,70.0,17.0,14.0,15.0,22.0,72.12,67.43,26.03,40.46,51.04,27.94,64.74,66.55,61.21,48.94,26.72,50.39,75.77,79.37,2.0,0.7,3.0,2.6,0.3,1.6,0.2,0.1,0.3,0.3,0.1,0.1,1.51,1.27,1.55,1.47,1.2,1.43,0.05,0.07,0.12,0.4,0.2,0.2,0.3,0.2,0.4,0.1,0.2,0.4,0.2,28.0,1.0,1.0,1.0,12.0,1.0,1.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,58.0,36.0,24.0,23.0,63.0,33.0,19.0,78.0,30.0,27.0,28.0,33.0,38.0,25.0,20.0,17.0,18.0,52.0,82.0,54.0,15.0,13.0,13.0,21.0,9.0,10.0,6.0,8.0,9.0
2018-08-01 08:00:00,11.0,4.0,14.0,7.0,4.0,9.0,5.0,5.0,1.0,11.0,25.0,28.0,23.0,25.0,33.0,37.0,16.0,21.0,22.0,22.0,30.0,37.0,233.0,89.0,47.0,49.0,158.0,66.0,19.0,119.0,72.0,62.0,79.0,58.0,54.0,67.0,45.0,36.0,52.0,62.0,93.0,104.0,39.0,55.0,26.0,43.0,34.98,43.55,17.47,22.8,62.87,15.27,40.55,41.37,45.8,44.95,17.18,18.7,59.85,55.78,2.0,0.7,3.6,1.5,0.3,1.4,0.3,0.1,0.4,0.2,0.2,0.2,1.55,1.25,1.5,1.48,1.19,1.39,0.07,0.06,0.11,0.6,0.2,0.2,0.4,0.2,0.4,0.2,0.2,0.5,0.2,95.0,9.0,2.0,2.0,46.0,5.0,1.0,16.0,10.0,8.0,15.0,2.0,2.0,4.0,2.0,1.0,3.0,3.0,8.0,22.0,2.0,6.0,1.0,1.0,88.0,75.0,45.0,46.0,87.0,59.0,17.0,94.0,57.0,50.0,56.0,55.0,51.0,61.0,42.0,35.0,47.0,57.0,81.0,71.0,35.0,46.0,25.0,41.0,12.0,13.0,12.0,9.0,12.0
