,ensayo_1,ensayo_1,ensayo_1,ensayo_1,ensayo_1,ensayo_1,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_20,ensayo_20,ensayo_20,ensayo_20,ensayo_30,ensayo_30,ensayo_30,ensayo_30,ensayo_42,ensayo_42,ensayo_42,ensayo_42,ensayo_44,ensayo_44,ensayo_44,ensayo_44,ensayo_6,ensayo_6,ensayo_6,ensayo_6,ensayo_6,ensayo_6,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9
punto_muestreo,28005002,28016001,28047002,28092005,28102001,28171001,28005002,28006004,28013002,28014002,28016001,28045002,28049003,28058004,28065014,28067001,28074007,28080003,28092005,28102001,28123002,28148004,28171001,28005002,28006004,28007004,28009001,28013002,28014002,28016001,28045002,28047002,28049003,28058004,28065014,28067001,28074007,28080003,28092005,28102001,28123002,28133002,28148004,28161001,28171001,28180001,28005002,28006004,28007004,28009001,28013002,28014002,28016001,28045002,28047002,28049003,28058004,28065014,28067001,28074007,28080003,28092005,28102001,28123002,28133002,28148004,28161001,28171001,28180001,28006004,28016001,28047002,28058004,28006004,28016001,28047002,28058004,28006004,28016001,28047002,28058004,28006004,28016001,28047002,28058004,28005002,28016001,28045002,28092005,28102001,28171001,28005002,28006004,28007004,28009001,28013002,28014002,28016001,28045002,28047002,28049003,28058004,28065014,28067001,28074007,28080003,28092005,28102001,28123002,28133002,28148004,28161001,28171001,28180001,28005002,28006004,28007004,28009001,28013002,28014002,28016001,28045002,28047002,28049003,28058004,28065014,28067001,28074007,28080003,28092005,28102001,28123002,28133002,28148004,28161001,28171001,28180001,28007004,28009001,28016001,28047002,28148004,28161001,28171001,28180001
miDt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01 01:00:00,1.0,1.0,2.0,1.0,1.0,1.0,18.0,14.0,12.0,12.0,6.0,1.0,22.0,13.0,29.0,9.0,14.0,7.0,4.0,5.0,12.0,14.0,17.0,67.0,33.0,36.0,5.0,22.0,11.0,5.0,18.0,8.0,26.0,57.0,108.0,8.0,80.0,31.0,36.0,8.0,17.0,4.0,12.0,32.0,4.0,17.0,25.0,46.0,42.0,78.0,46.0,66.0,88.0,80.0,97.0,60.0,23.0,1.0,78.0,6.0,63.0,39.0,78.0,76.5,78.0,69.0,41.0,84.0,67.0,0.5,0.1,0.1,21.5,0.2,0.3,0.9,2.0,7.0,6.0,5.7,6.5,0.1,0.4,0.5,1.1,0.5,0.1,0.3,0.5,0.2,0.3,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,17.0,1.0,9.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,59.0,31.0,34.0,3.0,20.0,9.0,3.0,15.0,6.0,23.0,54.0,82.0,6.0,66.0,29.0,34.0,6.0,14.0,2.0,10.0,29.0,2.0,15.0,9.0,1.0,8.0,6.0,4.0,18.0,3.0,6.0
2016-03-01 02:00:00,1.0,1.0,2.0,1.0,1.0,1.0,16.0,27.0,1.0,9.0,6.0,5.0,22.0,27.0,24.0,9.0,21.0,11.0,7.0,8.0,10.0,14.0,16.0,67.0,76.0,33.0,5.0,30.0,11.0,5.0,20.0,7.0,26.0,51.0,95.0,8.0,88.0,27.0,28.0,6.0,15.0,4.0,10.0,26.0,4.0,15.0,15.0,18.0,48.0,79.0,24.0,61.0,88.0,73.0,98.0,57.0,27.0,2.0,69.0,2.0,59.0,49.0,79.0,78.0,81.0,69.0,39.0,85.0,68.0,1.8,0.2,0.1,14.5,0.3,0.3,0.7,2.1,7.3,6.0,5.7,6.6,0.1,0.4,0.4,1.0,0.5,0.1,0.3,0.5,0.2,0.3,4.0,15.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,11.0,1.0,14.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,61.0,53.0,31.0,3.0,27.0,9.0,3.0,18.0,5.0,23.0,48.0,78.0,6.0,67.0,25.0,26.0,4.0,12.0,2.0,8.0,23.0,2.0,12.0,12.0,1.0,12.0,15.0,4.0,11.0,7.0,6.0
2016-03-01 03:00:00,1.0,1.0,2.0,1.0,1.0,1.0,18.0,9.0,4.0,16.0,6.0,11.0,16.0,25.0,27.0,3.0,14.0,12.0,7.0,8.0,7.0,6.0,14.0,63.0,48.0,12.0,5.0,36.0,15.0,4.0,24.0,7.0,47.0,40.0,103.0,8.0,72.0,21.0,13.0,10.0,18.0,4.0,15.0,28.0,4.0,10.0,14.0,24.0,72.0,79.5,10.0,44.0,90.0,62.0,101.0,35.0,34.0,1.0,63.0,7.0,60.0,64.0,76.0,72.0,82.0,63.0,22.0,85.0,71.0,7.9,0.1,0.1,32.5,0.2,0.3,0.5,3.6,7.2,6.0,5.7,6.7,0.1,0.4,0.4,0.9,0.5,0.1,0.3,0.4,0.2,0.3,4.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,16.0,1.0,9.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,57.0,45.0,10.0,3.0,31.0,13.0,2.0,21.0,5.0,44.0,38.0,78.0,6.0,58.0,19.0,11.0,8.0,15.0,2.0,13.0,25.0,2.0,8.0,9.0,1.0,6.0,1.0,4.0,10.0,5.0,9.0
2016-03-01 04:00:00,1.0,1.0,2.0,1.0,1.0,1.0,12.0,14.0,7.0,10.0,11.0,13.0,13.0,17.0,24.0,11.0,13.0,6.0,4.0,8.0,7.0,8.0,10.0,64.0,38.0,21.0,4.0,25.0,14.0,4.0,21.0,9.0,60.0,24.0,72.0,10.0,56.0,18.0,19.0,11.0,20.0,4.0,31.0,29.0,5.0,11.0,14.0,31.0,55.0,82.0,16.0,42.0,91.0,67.0,100.0,30.0,46.0,10.0,58.0,17.0,57.0,49.0,70.0,69.5,81.0,38.0,20.0,84.0,68.0,8.5,0.1,0.1,9.9,0.2,0.3,0.4,1.6,6.7,6.0,5.6,7.0,0.1,0.4,0.4,0.7,0.5,0.1,0.3,0.5,0.2,0.3,5.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,7.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,56.0,35.0,19.0,2.0,22.0,12.0,2.0,18.0,6.0,49.0,22.0,64.0,8.0,50.0,16.0,17.0,9.0,17.0,2.0,29.0,24.0,3.0,9.0,5.0,2.0,8.0,1.0,5.0,9.0,2.0,9.0
2016-03-01 05:00:00,3.0,1.0,2.0,1.0,1.0,1.0,17.0,18.0,8.0,11.0,7.0,13.0,17.0,15.0,16.0,8.0,10.0,4.0,5.0,15.0,5.0,10.0,4.0,97.0,42.0,36.0,6.0,22.0,17.0,5.0,34.0,32.0,143.0,33.0,61.0,12.0,87.0,20.0,21.0,10.0,44.0,4.0,60.0,34.0,5.0,43.0,6.0,31.0,37.0,78.0,19.0,35.0,91.0,52.0,60.0,7.0,36.0,17.0,54.0,7.0,55.0,43.0,70.0,35.5,81.0,16.0,12.0,83.0,34.0,6.4,0.1,0.1,8.4,0.2,0.3,0.4,1.4,6.7,6.0,5.7,6.8,0.1,0.4,0.5,0.8,0.5,0.1,0.3,0.5,0.1,0.3,19.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,44.0,2.0,5.0,1.0,21.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,4.0,68.0,39.0,34.0,4.0,19.0,15.0,3.0,31.0,29.0,76.0,30.0,53.0,10.0,55.0,18.0,19.0,8.0,38.0,2.0,57.0,29.0,3.0,37.0,7.0,2.0,4.0,5.0,8.0,9.0,5.0,7.0
2016-03-01 06:00:00,9.0,1.0,3.0,1.0,1.0,1.0,26.0,18.0,6.0,14.0,6.0,18.0,19.0,15.0,21.0,5.0,20.0,11.0,9.0,10.0,7.0,12.0,3.0,173.0,77.0,48.0,18.0,56.0,36.0,5.0,58.0,134.0,102.0,63.0,173.0,14.0,130.0,59.0,44.0,10.0,126.0,4.0,127.0,65.0,4.0,60.0,1.0,11.0,27.0,64.0,2.0,24.0,91.0,29.0,17.0,6.0,18.0,2.0,59.0,4.0,15.0,22.0,70.0,5.0,80.0,6.0,5.0,84.0,27.0,3.3,0.2,0.1,9.4,0.2,0.2,1.1,2.1,6.8,6.0,5.9,6.8,0.1,0.4,0.6,0.9,0.6,0.1,0.3,0.6,0.2,0.3,61.0,11.0,1.0,1.0,15.0,4.0,1.0,5.0,44.0,22.0,8.0,61.0,1.0,46.0,3.0,2.0,1.0,40.0,1.0,34.0,15.0,1.0,8.0,79.0,60.0,46.0,16.0,33.0,30.0,3.0,50.0,67.0,68.0,51.0,79.0,12.0,59.0,54.0,41.0,8.0,65.0,2.0,75.0,42.0,2.0,48.0,8.0,3.0,4.0,10.0,4.0,9.0,2.0,8.0
2016-03-01 07:00:00,7.0,1.0,6.0,2.0,1.0,1.0,36.0,31.0,13.0,13.0,7.0,20.0,21.0,20.0,36.0,16.0,27.0,10.0,15.0,13.0,10.0,18.0,9.0,414.0,227.0,65.0,50.0,66.0,73.0,4.0,174.0,324.0,182.0,106.0,341.0,52.0,296.0,90.0,93.0,10.0,191.0,4.0,176.0,132.0,5.0,107.0,2.0,5.0,21.0,30.5,1.0,9.0,93.0,6.0,7.0,3.0,7.0,1.0,22.0,3.0,5.0,2.0,73.0,3.5,82.0,1.0,1.0,83.0,16.0,4.1,0.1,2.7,8.6,0.7,0.2,3.6,2.2,7.5,6.0,6.3,6.5,0.4,0.4,0.8,0.8,0.9,0.1,0.6,0.7,0.1,0.2,208.0,96.0,7.0,3.0,23.0,17.0,1.0,53.0,150.0,70.0,23.0,157.0,5.0,140.0,14.0,18.0,1.0,78.0,1.0,55.0,55.0,1.0,26.0,95.0,80.0,54.0,45.0,31.0,47.0,2.0,93.0,94.0,75.0,71.0,100.0,44.0,81.0,69.0,65.0,8.0,71.0,2.0,92.0,48.0,3.0,67.0,10.0,4.0,3.0,9.0,9.0,14.0,4.0,13.0
2016-03-01 08:00:00,7.0,1.0,9.0,1.0,1.0,1.0,50.0,49.0,4.0,17.0,6.0,30.0,32.0,4.0,56.0,18.0,49.0,7.0,17.0,12.0,23.0,23.0,8.0,398.0,328.0,129.0,97.0,77.0,107.0,5.0,363.0,364.0,281.0,4.0,475.0,76.0,589.0,208.0,109.0,11.0,257.0,5.0,253.0,298.0,8.0,218.0,4.0,5.0,8.0,15.5,6.0,8.0,94.0,8.0,8.0,4.0,4.0,4.0,17.0,3.0,6.0,11.0,67.0,5.0,78.0,3.0,1.0,82.0,10.0,6.1,0.1,5.0,4.0,3.4,0.2,5.2,4.0,7.5,6.0,6.5,4.0,0.3,0.4,1.0,4.0,1.0,0.1,0.9,0.6,0.2,0.3,195.0,149.0,34.0,19.0,31.0,33.0,1.0,151.0,170.0,127.0,4.0,228.0,16.0,307.0,75.0,29.0,1.0,115.0,1.0,97.0,151.0,1.0,86.0,99.0,100.0,77.0,68.0,29.0,56.0,3.0,131.0,103.0,86.0,4.0,125.0,51.0,118.0,93.0,65.0,9.0,81.0,3.0,104.0,66.0,6.0,86.0,8.0,5.0,2.0,8.0,12.0,13.0,2.0,12.0
