,ensayo_1,ensayo_1,ensayo_1,ensayo_1,ensayo_1,ensayo_1,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_20,ensayo_20,ensayo_20,ensayo_20,ensayo_30,ensayo_30,ensayo_30,ensayo_30,ensayo_42,ensayo_42,ensayo_42,ensayo_42,ensayo_44,ensayo_44,ensayo_44,ensayo_44,ensayo_6,ensayo_6,ensayo_6,ensayo_6,ensayo_6,ensayo_6,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9
punto_muestreo,28005002,28016001,28047002,28092005,28102001,28171001,28005002,28006004,28013002,28014002,28016001,28045002,28049003,28058004,28065014,28067001,28074007,28080003,28092005,28102001,28120001,28123002,28133002,28148004,28171001,28005002,28006004,28007004,28009001,28013002,28014002,28016001,28045002,28047002,28049003,28058004,28065014,28067001,28074007,28080003,28092005,28102001,28120001,28123002,28133002,28148004,28161001,28171001,28180001,28005002,28006004,28007004,28009001,28013002,28014002,28016001,28045002,28047002,28049003,28058004,28065014,28067001,28074007,28080003,28092005,28102001,28120001,28123002,28133002,28148004,28161001,28171001,28180001,28006004,28016001,28047002,28058004,28006004,28016001,28047002,28058004,28006004,28016001,28047002,28058004,28006004,28016001,28047002,28058004,28005002,28016001,28045002,28092005,28102001,28171001,28005002,28006004,28007004,28009001,28013002,28014002,28016001,28045002,28047002,28049003,28058004,28065014,28067001,28074007,28080003,28092005,28102001,28120001,28123002,28133002,28148004,28161001,28171001,28180001,28005002,28006004,28007004,28009001,28013002,28014002,28016001,28045002,28047002,28049003,28058004,28065014,28067001,28074007,28080003,28092005,28102001,28120001,28123002,28133002,28148004,28161001,28171001,28180001,28005002,28007004,28009001,28016001,28047002,28049003,28065014,28074007,28120001,28148004,28161001,28171001,28180001
miDt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01 01:00:00,1.0,2.0,1.0,1.0,2.0,2.0,26.0,24.0,15.0,18.0,23.0,32.0,23.0,26.0,15.0,23.0,26.0,25.0,29.0,22.0,54.0,14.0,37.0,28.0,29.0,12.0,11.0,5.0,6.0,5.0,5.0,5.0,7.0,16.0,19.0,7.0,11.0,9.0,10.0,8.0,9.0,6.0,4.0,10.0,6.0,11.0,7.0,6.0,7.0,82.0,74.0,93.0,84.0,73.0,97.0,103.0,80.0,72.0,60.0,90.0,90.0,51.0,87.0,76.0,84.0,95.0,95.0,87.0,97.0,76.0,84.0,97.0,101.0,1.0,0.1,0.8,0.4,0.3,0.1,0.3,0.2,1.3,1.3,1.3,1.2,0.1,0.1,0.1,0.1,0.4,0.4,0.5,0.4,0.4,0.2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,9.0,3.0,4.0,2.0,3.0,3.0,5.0,14.0,16.0,5.0,9.0,7.0,8.0,6.0,7.0,4.0,2.0,8.0,4.0,9.0,5.0,4.0,5.0,11.0,17.0,12.0,8.0,14.0,17.0,10.0,10.0,16.0,14.0,9.0,18.0,1.0
2021-04-01 02:00:00,1.0,2.0,1.0,1.0,2.0,2.0,25.0,25.0,16.0,14.0,23.0,24.0,25.0,20.0,15.0,24.0,22.0,26.0,25.0,17.0,66.0,19.0,33.0,29.0,27.0,9.0,8.0,6.0,5.0,6.0,6.0,5.0,6.0,15.0,15.0,7.0,13.0,8.0,14.0,8.0,10.0,6.0,4.0,11.0,5.0,12.0,8.0,5.0,6.0,89.0,74.0,86.0,83.0,74.0,88.0,105.0,81.0,70.0,66.0,89.0,81.0,48.0,76.0,68.0,80.0,97.0,91.0,80.0,97.0,78.0,83.0,96.0,100.0,0.9,0.1,1.0,0.4,0.3,0.1,0.3,0.2,1.3,1.3,1.3,1.3,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.4,0.4,0.2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,6.0,4.0,3.0,3.0,4.0,3.0,4.0,13.0,12.0,5.0,11.0,6.0,12.0,6.0,8.0,4.0,2.0,9.0,3.0,10.0,6.0,3.0,4.0,12.0,20.0,12.0,9.0,14.0,17.0,7.0,11.0,19.0,13.0,7.0,19.0,3.0
2021-04-01 03:00:00,2.0,2.0,1.0,1.0,2.0,2.0,23.0,23.0,37.0,20.0,32.0,24.0,22.0,19.0,20.0,21.0,27.0,25.0,23.0,17.0,76.0,20.0,26.0,28.0,27.0,16.0,9.0,8.0,5.0,6.0,8.0,5.0,6.0,15.0,20.0,9.0,18.0,8.0,21.0,9.0,11.0,5.0,4.0,14.0,6.0,10.0,13.0,5.0,7.0,70.0,75.0,82.0,83.0,69.0,82.0,107.0,83.0,67.0,63.0,85.0,72.0,58.0,64.0,66.0,76.0,98.0,94.0,73.0,90.0,78.0,77.0,93.0,99.0,0.8,0.1,1.0,0.6,0.3,0.1,0.4,0.2,1.3,1.3,1.3,1.2,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.5,0.4,0.2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,7.0,6.0,3.0,3.0,6.0,3.0,4.0,13.0,17.0,7.0,16.0,6.0,18.0,7.0,9.0,3.0,2.0,11.0,4.0,8.0,11.0,3.0,5.0,11.0,18.0,11.0,9.0,17.0,14.0,12.0,19.0,22.0,13.0,9.0,17.0,8.0
2021-04-01 04:00:00,2.0,2.0,1.0,1.0,2.0,2.0,22.0,19.0,23.0,20.0,31.0,23.0,25.0,22.0,21.0,22.0,25.0,24.0,20.0,16.0,69.0,17.0,25.0,25.0,27.0,31.0,9.0,8.0,4.0,6.0,11.0,4.0,9.0,16.0,62.0,13.0,23.0,7.0,20.0,8.0,13.0,5.0,4.0,12.0,6.0,12.0,21.0,6.0,7.0,42.0,79.0,83.0,86.0,67.0,74.0,106.0,80.0,59.0,18.0,78.0,65.0,52.0,65.0,70.0,73.0,99.0,95.0,77.0,86.0,72.0,68.0,86.0,97.0,0.9,0.1,1.1,0.8,0.3,0.1,0.3,0.3,1.3,1.3,1.3,1.3,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.5,0.4,0.2,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,7.0,6.0,2.0,3.0,9.0,2.0,7.0,14.0,53.0,11.0,21.0,5.0,18.0,6.0,11.0,3.0,2.0,10.0,4.0,10.0,19.0,4.0,5.0,11.0,15.0,10.0,12.0,19.0,14.0,10.0,15.0,20.0,12.0,11.0,13.0,8.0
2021-04-01 05:00:00,2.0,2.0,1.0,1.0,2.0,2.0,23.0,18.0,18.0,18.0,26.0,25.0,23.0,19.0,21.0,19.0,24.0,21.0,18.0,14.0,56.0,20.0,26.0,23.0,28.0,26.0,9.0,8.0,8.0,8.0,12.0,4.0,9.0,22.0,51.0,14.0,25.0,14.0,27.0,10.0,14.0,5.0,4.0,19.0,7.0,16.0,12.0,6.0,7.0,50.0,79.0,83.0,81.0,64.0,69.0,100.0,79.0,59.0,23.0,79.0,64.0,49.0,59.0,72.0,74.0,96.0,93.0,60.0,83.0,65.0,76.0,79.0,95.0,0.8,0.1,1.2,0.9,0.3,0.1,0.3,0.3,1.3,1.3,1.3,1.3,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.5,0.4,0.2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,7.0,6.0,6.0,5.0,10.0,2.0,7.0,20.0,45.0,12.0,23.0,7.0,25.0,8.0,12.0,3.0,2.0,17.0,5.0,14.0,10.0,4.0,5.0,15.0,13.0,10.0,10.0,17.0,14.0,12.0,12.0,18.0,11.0,12.0,13.0,8.0
2021-04-01 06:00:00,3.0,1.0,1.0,1.0,2.0,2.0,22.0,16.0,21.0,23.0,24.0,21.0,31.0,19.0,19.0,22.0,21.0,19.0,20.0,16.0,44.0,19.0,25.0,21.0,30.0,34.0,12.0,12.0,17.0,12.0,18.0,4.0,14.0,28.0,50.0,21.0,30.0,8.0,28.0,12.0,18.0,5.0,4.0,21.0,14.0,20.0,15.0,7.0,9.0,40.0,77.0,78.0,61.0,57.0,58.0,95.0,77.0,61.0,22.0,73.0,60.0,53.0,64.0,70.0,69.0,99.0,92.0,63.0,79.0,61.0,71.0,73.0,93.0,0.7,0.1,1.9,0.8,0.3,0.1,0.4,0.2,1.3,1.3,1.3,1.3,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.5,0.4,0.2,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,29.0,10.0,10.0,15.0,9.0,16.0,2.0,12.0,26.0,44.0,18.0,28.0,6.0,24.0,9.0,16.0,3.0,2.0,19.0,11.0,18.0,13.0,5.0,7.0,9.0,14.0,9.0,11.0,16.0,19.0,5.0,9.0,14.0,11.0,12.0,14.0,9.0
2021-04-01 07:00:00,4.0,1.0,1.0,1.0,2.0,2.0,20.0,17.0,22.0,23.0,27.0,19.0,26.0,23.0,20.0,23.0,21.0,18.0,17.0,16.0,37.0,19.0,22.0,21.0,32.0,32.0,20.0,19.0,11.0,12.0,32.0,5.0,31.0,62.0,50.0,32.0,37.0,13.0,33.0,20.0,23.0,5.0,4.0,24.0,12.0,32.0,19.0,6.0,10.0,41.0,64.0,72.0,71.0,58.0,43.0,95.0,64.0,28.0,25.0,65.0,50.0,48.0,58.0,63.0,65.0,97.0,93.0,57.0,80.0,48.0,65.0,71.0,91.0,1.1,0.1,1.3,0.7,0.3,0.1,0.4,0.3,1.4,1.3,1.3,1.3,0.1,0.1,0.1,0.1,0.4,0.4,0.6,0.5,0.4,0.2,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,8.0,7.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,29.0,18.0,17.0,8.0,9.0,29.0,3.0,25.0,49.0,41.0,24.0,35.0,10.0,31.0,17.0,21.0,3.0,2.0,21.0,9.0,30.0,17.0,4.0,8.0,8.0,11.0,10.0,8.0,16.0,16.0,11.0,14.0,13.0,13.0,11.0,11.0,10.0
2021-04-01 08:00:00,4.0,2.0,2.0,1.0,2.0,2.0,20.0,20.0,22.0,25.0,31.0,31.0,27.0,19.0,19.0,26.0,22.0,19.0,19.0,14.0,31.0,19.0,24.0,22.0,27.0,35.0,18.0,19.0,8.0,12.0,31.0,4.0,29.0,49.0,54.0,27.0,31.0,27.0,44.0,18.0,22.0,5.0,4.0,34.0,13.0,34.0,18.0,7.0,10.0,36.0,66.0,73.0,74.0,58.0,43.0,100.0,65.0,38.0,29.0,68.0,60.0,39.0,51.0,64.0,68.0,91.0,93.0,49.0,85.0,42.0,65.0,82.0,89.0,1.2,0.1,1.4,1.0,0.3,0.1,0.6,0.4,1.3,1.3,1.3,1.2,0.1,0.1,0.1,0.1,0.4,0.4,0.6,0.5,0.4,0.2,3.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,5.0,10.0,3.0,2.0,5.0,5.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,30.0,15.0,17.0,6.0,8.0,27.0,2.0,23.0,41.0,38.0,22.0,27.0,20.0,37.0,15.0,20.0,3.0,2.0,28.0,9.0,30.0,16.0,5.0,8.0,6.0,12.0,9.0,9.0,17.0,15.0,8.0,12.0,10.0,14.0,10.0,10.0,10.0
